INPUT_TABLE
Variable ID
RenewRsrcCurves

region,renewresource,sub.renewable.resource,grade,available,extractioncost
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade1,0,1e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade2,0.0169710797805169,1.1358024691358e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade3,0.0339421595610338,2.08641975308642e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade4,0.0509132393415507,4.66666666666667e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade5,0.0678843191220675,9.69135802469136e-05
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade6,0.0848553989025844,0.000179753086419753
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade7,0.101826478683101,0.000303333333333333
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade8,0.118797558463618,0.000475802469135802
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade9,0.135768638244135,0.000705308641975309
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade10,0.152739718024652,0.001
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade11,0.153739718024652,0.015
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade12,0.247768638244135,0.0653530785587623
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade13,0.341797558463618,0.160704625241775
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade14,0.435826478683101,0.30000556195973
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade15,0.529855398902584,0.482206810623319
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade16,0.623884319122068,0.706259293143234
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade17,0.717913239341551,0.971113931430168
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade18,0.811942159561034,1.27572164739481
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade19,0.905971079780517,1.61903336294786
EU-12,Adriatic Sea-Greece-Black Sea Coast-water withdrawals,runoff,grade20,1,2
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,grade1,0,1e-05
